"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Stayathome #quarantinereading, listening and viewing: Finding Dan McCarty https://t.co/8W8BLh9ESa https://t.co/LJruA12KtZ",FALSE,0,NA,2020-05-02 17:01:55,FALSE,NA,"1256630007990009857",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Flasqueeze",1,FALSE,FALSE,NA,NA
"RT @choosethemoon: Ana Rua - Jewels
A beautiful jewel to offer! <U+0001F48E><U+0001F48D>
#follow @choosethemoon 
#choosethemoon #anarua #jewelry #jewelrydesign #…",FALSE,0,NA,2020-05-02 17:01:55,FALSE,NA,"1256630007155261443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CenterPortugal",4,TRUE,FALSE,NA,NA
"Catching up on @2000AD progs makes it much easier to #StayAtHome on this sunny Saturday. I’m especially loving… https://t.co/xyjkD4ZxU1",FALSE,9,NA,2020-05-02 17:01:53,TRUE,NA,"1256629998196269062",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PopCultureHound",2,FALSE,FALSE,NA,NA
"RT @AMR_Official: That’s not a bad start at all... @ceastwood28 picked up P4 on the last lap at the expense of @BentleyRacing driver... @Ni…",FALSE,0,NA,2020-05-02 17:01:52,FALSE,NA,"1256629994572447744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marc10lopez",5,TRUE,FALSE,NA,NA
"@tyrion1 Total TX population: ~ 3M. Total positives: ~ 30K. Total deaths: 847. Rate of infection to death: 0.028;… https://t.co/VBPbBtKNIG",FALSE,0,"clairwil",2020-05-02 17:01:52,TRUE,"1256628672569761794","1256629994324758529","18249727","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","clairwil",0,FALSE,FALSE,NA,NA
"#IndiaFightsCorona:

<U+0001F4CC>FACT

There is no scientific evidence that mango <U+0001F96D> kills the new #Coronavirus.
However, WHO r… https://t.co/2R7ev3ckQw",FALSE,3,NA,2020-05-02 17:01:48,TRUE,NA,"1256629978545913860",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pibvijayawada",0,FALSE,FALSE,NA,NA
"RT @tiktok60312466: @KylieJenner  and @trvisXX are together?#KylieJenner #tiktok #TikTok #TravisScott #StayAtHome #FolloMe https://t.co/D8n…",FALSE,0,NA,2020-05-02 17:01:47,FALSE,NA,"1256629974519300096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaumRebahin",4,TRUE,FALSE,NA,NA
"RT @BashirAhmaad: These two frames show that Nigeria recorded more than 2,000 COVID–19 cases between 1st April to 1st May, with over 60 dea…",FALSE,0,NA,2020-05-02 17:01:47,FALSE,NA,"1256629973609254913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UmarGadanya",224,TRUE,FALSE,NA,NA
"RT @ANTI_BOUNTY: The Best Twitter Blockchain Promotion Tools #Antibounty
Get Started https://t.co/uC8KC8Ts9M
Motivated To Grow! #bestbounty…",FALSE,0,NA,2020-05-02 17:01:45,FALSE,NA,"1256629967263354880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaratHafizov",48,TRUE,FALSE,NA,NA
"RT @marie_nassar: <U+0001F4A6><U+0001F338>Happy New Month dear friends<U+0001F495> wishing you all happiness,peace and good health<U+0001F337><U+0001F3E1><U+0001F333><U+0001F33C><U+0001F343><U+0001F490>

#FridayFeeling  <U+0001F49E>  #StayAtHome htt…",FALSE,0,NA,2020-05-02 17:01:34,FALSE,NA,"1256629919985078272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maura2e2_",595,TRUE,FALSE,NA,NA
"With another week of having to stay safe at home, the people we support have been making the most of their time wit… https://t.co/uhi89nHDbl",FALSE,0,NA,2020-05-02 17:01:31,TRUE,NA,"1256629907016372224",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BOCS_England",0,FALSE,FALSE,NA,NA
"RT @SophieEB: Here's 'Take Me Home / Stay At Home' from last night's kitchen disco! If you enjoy it, you can see the full performance at ht…",FALSE,0,NA,2020-05-02 17:01:28,FALSE,NA,"1256629894135627782",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JennyRo68074561",4858,TRUE,FALSE,NA,NA
"RT @moisesschini: “Stay Art Home” - USA<U+2063>
<U+2063>
From a night bird to a home bird. Edward Hopper, Nighthawks (1942) - Moises Schini, João-de-Barr…",FALSE,0,NA,2020-05-02 17:01:24,FALSE,NA,"1256629878968840192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fragona38",2,TRUE,FALSE,NA,NA
"RT @icetimesw: Really enjoyed being back in Vegas albeit for just a few hours... you are ALWAYS FABULOUS! Great to see @smarsh91 @JessieRae…",FALSE,0,NA,2020-05-02 17:01:19,FALSE,NA,"1256629855191306240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ITHockeySWTwo",3,TRUE,FALSE,NA,NA
"#StayAtHome WITH THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES
Moroccan Women in Cinema, Visual Media and Screen Cultur… https://t.co/bufUBPaDV1",FALSE,0,NA,2020-05-02 17:01:18,TRUE,NA,"1256629854126080008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","afriwomencinema",2,FALSE,FALSE,NA,NA
"RT @begeland: Take the PMP at Home Online and Prep Virtually with Cheetah Learning - Done in 5 Days - https://t.co/OdSUDz0c2A #PMP #PPM #pr…",FALSE,0,NA,2020-05-02 17:01:17,FALSE,NA,"1256629849285894145",NA,"<a href=""https://abdirahiimyassin.weebly.com"" rel=""nofollow"">Cyber Security Feed</a>","cybersec_feeds",2,TRUE,FALSE,NA,NA
"RT @TheRightMelissa: @realDonaldTrump @MarkMeadows Democrats are extending their vacations indefinitely while Americans suffer instead of r…",FALSE,0,NA,2020-05-02 17:01:16,FALSE,NA,"1256629842985906178",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Caligirl_950",177,TRUE,FALSE,NA,NA
"RT @mary_chaffin: Reckless protesters at state capitols risk the health of their families and others.   One protester died in Ohio after ca…",FALSE,0,NA,2020-05-02 17:01:16,FALSE,NA,"1256629842109480960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DebAma818",9,TRUE,FALSE,NA,NA
"RT @husky_community: If you want a friend, buy a dog.
No matter how you're feeling, a little dog gonna love you.
<U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F><U+0001F90F>
#husky #siber…",FALSE,0,NA,2020-05-02 17:01:14,FALSE,NA,"1256629836094812160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Alec0117",1,TRUE,FALSE,NA,NA
"RT @KashJackson2018: @Rayshaypay @elonmusk I mean ya gotta post garbage like this when African American are supporting @realDonaldTrump at…",FALSE,0,NA,2020-05-02 17:01:13,FALSE,NA,"1256629829723721734",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","baalter",98,TRUE,FALSE,NA,NA
"RT @Cosplay_YourWay: I MADE THE #DEANSLYST!

@deanslyst #custommade, #formfitting #protection #masks, keeping you protected and stylish!…",FALSE,0,NA,2020-05-02 17:01:09,FALSE,NA,"1256629816507469824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarrFoxx",1,TRUE,FALSE,NA,NA
"RT @WagliO_O: Enjoy relaxing at home! <U+0001F426>

#HappyEaster 
#StayAtHome https://t.co/6mUqD9eLZO",FALSE,0,NA,2020-05-02 17:01:09,FALSE,NA,"1256629812518629377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vestkysta",982,TRUE,FALSE,NA,NA
"RT @swhitbo: What happens when you keep secrets from your partner? The more you practice #stayathome, the harder it can be. New #psych rese…",FALSE,0,NA,2020-05-02 17:01:08,FALSE,NA,"1256629808282374144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isurieleperuma",7,TRUE,FALSE,NA,NA
"RT @albert_cunill: “Words are wind.”
George R.R. Martin
<U+0001F499>
#StayAtHome 

<U+0001F3A8>Vincent Van Gogh 1853-1890
Dutch painter
""Wind""

#art #painting @e…",FALSE,0,NA,2020-05-02 17:01:05,FALSE,NA,"1256629799323385857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sebasti43211845",135,TRUE,FALSE,NA,NA
"IBIZA Charming little bungalow with guest studio in an idyllic garden REF 151 #ibizalove #ibizanatural #buyahome… https://t.co/bHYoCbwQWb",FALSE,0,NA,2020-05-02 17:01:03,TRUE,NA,"1256629788489334784",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","lasanclasibiza",0,FALSE,FALSE,NA,NA
"Coming up at 7.30pm tonight!

FREE entry to tonight's 2019/20 End of Season Awards from our home to yours. 50:50 Dr… https://t.co/VoMKNbuDd1",FALSE,4,NA,2020-05-02 17:01:01,TRUE,NA,"1256629780436393984",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","safc",4,FALSE,FALSE,NA,NA
"RT @wmurcharchives: 19 hours of interviews with legendary editor and sound designer Walter Murch, ACE on his exceptional career (THX1138, T…",FALSE,0,NA,2020-05-02 17:01:01,FALSE,NA,"1256629779110916096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GaryLundgren",56,TRUE,FALSE,NA,NA
"Here’s one of your SEIU-West Front Line Heroes.  
Providing hands on care during a pandemic is not easy but Stacey… https://t.co/IfN5iZsgA6",FALSE,2,NA,2020-05-02 17:01:00,TRUE,NA,"1256629775885615106",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","PurpleWorksSEIU",1,FALSE,FALSE,NA,NA
"RT @LaLigaEN: <U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F> England hero.
<U+2728> @realmadriden star.
<U+0001F30D> Global footballing icon.

...and one of the sweetest right-foots in #LaLigaHist…",FALSE,0,NA,2020-05-02 17:00:59,FALSE,NA,"1256629771791982598",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CesarRamirezGo",152,TRUE,FALSE,NA,NA
"RT @timetodecor: GAME: HOME SURAU

Most surau are highly influenced by Arabic style &amp; banyak bermain corak geometri. Sempena #stayathome Ra…",FALSE,0,NA,2020-05-02 17:00:58,FALSE,NA,"1256629766632898561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ainamaisarah115",804,TRUE,FALSE,NA,NA
"Nope, the curve has not flattened. #COVID19 #FlattenTheCurve #StayAtHome",FALSE,0,NA,2020-05-02 17:00:54,FALSE,NA,"1256629750749110273",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","countercovid19",0,FALSE,FALSE,NA,NA
"#SaturdayPartyTime <U+0001F4FB> w/ @De Dean <U+0001F3A7> @Eugoko2

<U+25B6><U+FE0F> Born to Win <U+0001F5E3><U+FE0F> @gentleaustin77 

#FunRadio<U+0001F44D> 
#StayAtHome",FALSE,0,NA,2020-05-02 17:00:50,FALSE,NA,"1256629734970216449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lovefmph977",0,FALSE,FALSE,NA,NA
"“Whoever works his land will have plenty of bread, but he who follows worthless pursuits lacks sense.”
#StayAtHome",FALSE,0,NA,2020-05-02 17:00:47,FALSE,NA,"1256629724169801728",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","JTChege",0,FALSE,FALSE,NA,NA
"@nlopes952 <U+0001F31F><U+0001F609><U+0001F618><U+0001F496>Thanks Too Nadia<U+0001F634><U+0001F4A4><U+0001F4A4><U+0001F4A4>
 #TakeCare #BeSafe #StayAtHome",FALSE,1,"nlopes952",2020-05-02 17:00:47,FALSE,"1256629280852905984","1256629722311790592","3299114206","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pocs80",0,FALSE,FALSE,NA,NA
"RT @WACofficiel: #OnThisDay in 2009 ... We beat Css <U+0001F1F9><U+0001F1F3> 2-0 and we qualified for the #ACL final <U+0001F64C> <U+2063>
<U+26BD> Bidoudane <U+26BD> Jouiaa
Use 1<U+FE0F><U+20E3> Emoji to de…",FALSE,0,NA,2020-05-02 17:00:43,FALSE,NA,"1256629705719140356",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SoufaneSoufyane",41,TRUE,FALSE,NA,NA
"FireFly Audio Visual Solutions Ltd will bring hues of #MakeItBlue to English landmarks in York &amp; Leeds. Check out t… https://t.co/s6HVleQac4",FALSE,2,NA,2020-05-02 17:00:43,TRUE,NA,"1256629705291313152",NA,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","ChauvetPro",0,FALSE,FALSE,NA,NA
"RT @NiallOfficial: Hope you enjoy this #stayathome playlist I made with @Deezer to carry us through these days at home ! https://t.co/gI0UU…",FALSE,0,NA,2020-05-02 17:00:41,FALSE,NA,"1256629698966233094",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","haventagoodone",5082,TRUE,FALSE,NA,NA
"This day on lucha libre history... (May 2)

Click on the link and discover the important events that occurred on th… https://t.co/cY5Yri1MgG",FALSE,8,NA,2020-05-02 17:00:39,TRUE,NA,"1256629689294024704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuchaCentralCom",3,FALSE,FALSE,NA,NA
"RT @DeoSahil: An #update on the #COVID__19 confirmed cases in #India
Data updated today evening

#Punjab sees a real spike, no other surpri…",FALSE,0,NA,2020-05-02 17:00:38,FALSE,NA,"1256629686513393665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitkuamr",16,TRUE,FALSE,NA,NA
"Go to the 41:00 mark to watch @SheriffClarke discuss his participation in the LEGAL assembly of armed Michiganders… https://t.co/98fLUWLVEp",FALSE,5,NA,2020-05-02 17:00:33,TRUE,NA,"1256629664799510531",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TrumpGirlStrong",3,FALSE,FALSE,NA,NA
"<U+0001F6A8> Round of 16 <U+0001F6A8>

The group stage is over, now the knockout phase begins.

Choose your favourite match!

4<U+20E3> ties tod… https://t.co/UbuiCaqZu8",FALSE,10,NA,2020-05-02 17:00:32,TRUE,NA,"1256629658096975873",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SevillaFC_ENG",2,FALSE,FALSE,NA,NA
"RT @OpenHouseOx: A reminder that SUBMISSIONS ARE OPEN for Issue 3 of Oxford is My Home, the zine made of your stories, pictures and poems o…",FALSE,0,NA,2020-05-02 17:00:28,FALSE,NA,"1256629641374294018",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OxfordWildFood",5,TRUE,FALSE,NA,NA
"Starting your landscaping during #stayathome? A well-kept yard is a great way to increase your home's value.… https://t.co/cEsiWgSbEG",FALSE,0,NA,2020-05-02 17:00:26,TRUE,NA,"1256629634818588675",NA,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain Platform</a>","TomieRaines",0,FALSE,FALSE,NA,NA
"These cuties have to #stayathome so can't go to their favourite hangout - the library. Luckily they're well stocked… https://t.co/7cXvE9QcHX",FALSE,0,NA,2020-05-02 17:00:23,TRUE,NA,"1256629621052903424",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","cillustrators",0,FALSE,FALSE,NA,NA
"Isn't she lovely? @GenevieveNnaji1  art by @maxigraphics_  do what makes you happy while you stay safe at home… https://t.co/Tdmm3lIDsL",FALSE,0,NA,2020-05-02 17:00:21,TRUE,NA,"1256629614580924416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","maxigraphics_",0,FALSE,FALSE,"7.4833","9.0667"
"@57Veronica @tbrock623 @barbara81483929 @IWegerif @JodiEbazenat @sam38738973 @pscoordsen13 @ACelinakova… https://t.co/RFQwJKjIIP",FALSE,4,"57Veronica",2020-05-02 17:00:18,TRUE,"1256509082867060741","1256629600047808519","2566956373","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monachris",2,FALSE,FALSE,NA,NA
"RT @begeland: Tips for Managing Projects Through Organizational Changes - https://t.co/OdSUDz0c2A #PMP #PPM #projectmanagement #Agile #cybe…",FALSE,0,NA,2020-05-02 17:00:17,FALSE,NA,"1256629595706621953",NA,"<a href=""https://abdirahiimyassin.weebly.com"" rel=""nofollow"">Cyber Security Feed</a>","cybersec_feeds",2,TRUE,FALSE,NA,NA
"18:00 - Saturday, 02-May. 18°C. Plant seeds of happiness, hope, success, and love; it will all come back to you in… https://t.co/oGirc6rbbr",FALSE,10,NA,2020-05-02 17:00:13,TRUE,NA,"1256629580619751429",NA,"<a href=""http://www.burtonhouse.info"" rel=""nofollow"">BurtonHouseWebcam</a>","BotRhb",1,FALSE,FALSE,NA,NA
"RT @marie_nassar: <U+0001F4A6><U+0001F338>Happy New Month dear friends<U+0001F495> wishing you all happiness,peace and good health<U+0001F337><U+0001F3E1><U+0001F333><U+0001F33C><U+0001F343><U+0001F490>

#FridayFeeling  <U+0001F49E>  #StayAtHome htt…",FALSE,0,NA,2020-05-02 17:00:12,FALSE,NA,"1256629576563900416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","guariana",595,TRUE,FALSE,NA,NA
"RT @choosethemoon: Ana Rua - Jewels
A beautiful jewel to offer! <U+0001F48E><U+0001F48D>
#follow @choosethemoon 
#choosethemoon #anarua #jewelry #jewelrydesign #…",FALSE,0,NA,2020-05-02 17:00:09,FALSE,NA,"1256629564937252865",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HerdadeFozdaRep",4,TRUE,FALSE,NA,NA
"RT @LaLigaEN: He'll never pay for a drink on the verdiblanco half of Seville again... <U+0001F64C>

<U+0001F4C5> #OTD in 2012, Beñat scored TWO free-kicks to win…",FALSE,0,NA,2020-05-02 17:00:05,FALSE,NA,"1256629544661864449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ekalavyantweets",18,TRUE,FALSE,NA,NA
"Twitter sees record user growth, thanks to COVID-19 | Engadget https://t.co/lXp5IfBg09 @IrmaRaste @eViRaHealth… https://t.co/Pzc5xYrv3H",FALSE,7,NA,2020-05-02 17:00:04,TRUE,NA,"1256629543382769667",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","evankirstel",4,FALSE,FALSE,NA,NA
"#Throwback to 2002, #SEARCHSeva aimed to nurture the #imagination and #creativity through a #painting and… https://t.co/dpW88gDKIU",FALSE,1,NA,2020-05-02 17:00:01,TRUE,NA,"1256629527918280706",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SearchSeva",0,FALSE,FALSE,NA,NA
"Bristol artist @KatyJPearsonnn reveals the secrets of her First and Last Loves with @StephenMainline <U+0001F449>… https://t.co/bMXSaJlOk7",FALSE,1,NA,2020-05-02 17:00:00,TRUE,NA,"1256629527117213699",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","bbcradioulster",1,FALSE,FALSE,NA,NA
"‘The toilet? Yeah sure it’s just next to the fridge’.

Catch up on last night's @joelycett
#GotYourBack on All 4 no… https://t.co/dJpPuKpoDX",FALSE,18,NA,2020-05-02 17:00:00,TRUE,NA,"1256629526328750087",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Channel4",1,FALSE,FALSE,NA,NA
"Iyanla's Daily Anti Viral Message - Day 43

Living Beyond the Virus - Surrender Saturday

#StayAtHome #COVID19… https://t.co/1HbjDdO5zf",FALSE,11,NA,2020-05-02 17:00:00,TRUE,NA,"1256629524592132097",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","IyanlaVanzant",1,FALSE,FALSE,NA,NA
